age,del_18O,del_D,d-excess,Tsite,Tsource,Tsource-Tsite
100,-55.13,-426.82,14.20,-0.16,-0.22,-0.06
300,-55.13,-426.58,14.47,-0.01,0.07,0.08
500,-55.23,-427.29,14.58,-0.10,0.07,0.17
700,-55.22,-427.13,14.65,-0.05,0.16,0.20
900,-54.93,-424.60,14.80,0.51,0.71,0.20
1100,-55.04,-425.50,14.84,0.35,0.60,0.25
1300,-54.87,-424.54,14.41,0.37,0.35,-0.02
1500,-54.82,-424.52,14.01,0.22,-0.02,-0.24
1700,-55.04,-426.43,13.93,-0.19,-0.40,-0.21
1900,-55.25,-427.85,14.14,-0.38,-0.42,-0.04
2100,-55.31,-428.37,14.08,-0.51,-0.56,-0.05
2300,-55.59,-430.50,14.21,-0.87,-0.77,0.10
2500,-55.39,-428.79,14.36,-0.48,-0.36,0.13
2700,-55.21,-427.16,14.56,-0.08,0.09,0.18
2900,-55.19,-427.21,14.29,-0.20,-0.16,0.03
3100,-55.08,-426.24,14.43,0.05,0.13,0.08
3300,-55.08,-425.74,14.94,0.34,0.69,0.34
3500,-55.26,-426.92,15.17,0.21,0.72,0.52
3700,-55.24,-426.88,15.05,0.17,0.62,0.45
3900,-55.31,-427.28,15.22,0.15,0.72,0.56
4100,-55.42,-428.24,15.09,-0.08,0.45,0.53
4300,-55.40,-428.61,14.59,-0.35,-0.08,0.27
4500,-55.38,-428.37,14.65,-0.28,0.02,0.30
4700,-55.50,-429.40,14.59,-0.50,-0.19,0.31
4900,-55.40,-428.37,14.80,-0.22,0.17,0.39
5100,-55.38,-428.07,14.95,-0.10,0.36,0.47
5300,-55.21,-426.86,14.80,0.08,0.42,0.35
5500,-55.20,-427.16,14.47,-0.11,0.08,0.18
5700,-55.25,-427.33,14.65,-0.07,0.22,0.29
5900,-55.20,-427.45,14.14,-0.29,-0.26,0.03
6100,-54.98,-426.31,13.49,-0.32,-0.69,-0.37
6300,-54.99,-426.41,13.54,-0.32,-0.65,-0.33
6500,-54.87,-425.45,13.48,-0.16,-0.55,-0.39
6700,-54.82,-425.32,13.22,-0.23,-0.77,-0.53
6900,-54.69,-424.21,13.33,0.03,-0.48,-0.51
7100,-54.80,-424.70,13.70,0.08,-0.19,-0.27
7300,-54.84,-424.87,13.87,0.11,-0.06,-0.17
7500,-54.82,-424.87,13.73,0.06,-0.18,-0.24
7700,-54.69,-424.07,13.45,0.11,-0.31,-0.41
7900,-54.97,-426.29,13.48,-0.32,-0.62,-0.31
8100,-54.87,-425.55,13.43,-0.19,-0.53,-0.35
8300,-54.81,-425.33,13.18,-0.24,-0.72,-0.48
8500,-54.91,-425.83,13.46,-0.23,-0.52,-0.30
8700,-54.93,-425.78,13.69,-0.13,-0.29,-0.16
8900,-54.62,-423.54,13.41,0.21,-0.17,-0.38
9100,-54.59,-423.52,13.18,0.12,-0.37,-0.49
9300,-54.38,-421.79,13.27,0.50,0.01,-0.48
9500,-54.22,-420.77,13.01,0.60,-0.04,-0.64
9700,-54.09,-419.69,13.04,0.83,0.19,-0.64
9900,-54.06,-419.33,13.14,0.94,0.37,-0.57
10100,-53.81,-417.28,13.16,1.35,0.73,-0.61
10300,-53.83,-417.57,13.05,1.25,0.61,-0.64
10500,-53.81,-417.47,13.01,1.26,0.62,-0.64
10700,-53.78,-417.65,12.60,1.07,0.24,-0.83
10900,-53.64,-416.78,12.33,1.14,0.16,-0.97
11100,-53.74,-417.70,12.18,0.90,-0.09,-0.99
11300,-53.67,-417.42,11.96,0.88,-0.20,-1.08
11500,-53.71,-417.68,11.99,0.84,-0.17,-1.01
11700,-53.91,-419.13,12.13,0.62,-0.21,-0.83
11900,-54.32,-422.18,12.40,0.14,-0.38,-0.52
12100,-54.63,-424.70,12.36,-0.35,-0.75,-0.39
12300,-54.87,-426.62,12.35,-0.72,-1.00,-0.28
12500,-55.29,-430.04,12.26,-1.42,-1.57,-0.15
12700,-55.60,-432.39,12.40,-1.81,-1.74,0.07
12900,-55.61,-432.44,12.46,-1.78,-1.62,0.16
13100,-55.86,-433.98,12.93,-1.89,-1.36,0.53
13300,-56.12,-435.85,13.09,-2.18,-1.44,0.74
13500,-56.15,-436.04,13.20,-2.17,-1.31,0.86
13700,-56.10,-435.60,13.19,-2.08,-1.19,0.89
13900,-55.99,-435.08,12.84,-2.11,-1.39,0.72
14100,-55.95,-434.89,12.68,-2.12,-1.46,0.67
14300,-55.76,-433.66,12.40,-1.99,-1.48,0.51
14500,-55.63,-432.86,12.20,-1.90,-1.49,0.42
14700,-55.68,-433.40,12.02,-2.07,-1.69,0.38
14900,-56.01,-435.94,12.11,-2.52,-1.94,0.57
15100,-56.08,-436.69,11.98,-2.70,-2.13,0.58
15300,-56.24,-437.65,12.29,-2.76,-1.94,0.82
15500,-56.27,-437.80,12.35,-2.76,-1.85,0.90
15700,-56.33,-438.23,12.38,-2.82,-1.85,0.97
15900,-56.51,-439.67,12.45,-3.07,-1.96,1.11
16100,-56.76,-441.74,12.36,-3.49,-2.32,1.17
16300,-57.10,-444.67,12.12,-4.14,-2.96,1.19
16500,-57.62,-448.80,12.15,-4.92,-3.52,1.40
16700,-58.18,-453.09,12.32,-5.67,-3.98,1.69
16900,-58.33,-454.44,12.18,-5.98,-4.29,1.69
17100,-58.46,-455.32,12.32,-6.09,-4.26,1.82
17300,-58.85,-457.84,12.93,-6.33,-4.04,2.28
17500,-58.96,-458.77,12.90,-6.52,-4.20,2.32
17700,-58.94,-459.06,12.48,-6.73,-4.62,2.12
17900,-59.25,-461.26,12.71,-7.06,-4.71,2.35
18100,-59.42,-462.70,12.65,-7.36,-4.98,2.38
18300,-59.41,-463.03,12.21,-7.59,-5.43,2.16
18500,-59.45,-463.50,12.11,-7.72,-5.59,2.13
18700,-59.33,-462.71,11.95,-7.63,-5.62,2.01
18900,-59.29,-462.66,11.62,-7.75,-5.91,1.83
19100,-59.37,-463.42,11.56,-7.92,-6.09,1.83
19300,-59.41,-463.79,11.51,-8.01,-6.19,1.82
19500,-59.37,-463.25,11.70,-7.83,-5.93,1.90
19700,-59.45,-463.34,12.30,-7.62,-5.39,2.23
19900,-59.46,-462.90,12.78,-7.34,-4.87,2.47
20100,-59.50,-462.91,13.12,-7.21,-4.55,2.66
20300,-59.62,-463.46,13.51,-7.17,-4.28,2.89
20500,-59.73,-464.22,13.62,-7.27,-4.30,2.97
20700,-59.85,-465.02,13.75,-7.37,-4.30,3.07
20900,-59.95,-465.85,13.79,-7.52,-4.39,3.13
21100,-59.96,-465.72,13.97,-7.42,-4.20,3.22
21300,-59.88,-464.91,14.10,-7.22,-3.97,3.25
21500,-59.88,-464.67,14.35,-7.07,-3.70,3.38
21700,-59.97,-465.41,14.31,-7.23,-3.86,3.38
21900,-59.98,-465.37,14.49,-7.16,-3.69,3.47
22100,-60.03,-466.10,14.16,-7.43,-4.12,3.31
22300,-60.09,-466.76,13.95,-7.64,-4.42,3.22
22500,-59.99,-466.10,13.83,-7.56,-4.45,3.12
22700,-59.84,-464.83,13.87,-7.30,-4.22,3.08
22900,-59.62,-463.57,13.39,-7.25,-4.48,2.77
23100,-59.41,-462.18,13.07,-7.11,-4.58,2.53
23300,-59.23,-460.60,13.26,-6.73,-4.17,2.56
23500,-59.31,-461.13,13.36,-6.80,-4.17,2.63
23700,-59.45,-462.44,13.20,-7.11,-4.53,2.58
23900,-59.56,-463.45,13.05,-7.37,-4.83,2.54
24100,-59.63,-463.95,13.07,-7.46,-4.90,2.55
24300,-59.72,-464.94,12.80,-7.76,-5.32,2.44
24500,-59.73,-465.29,12.57,-7.91,-5.59,2.32
24700,-59.65,-464.83,12.34,-7.92,-5.74,2.17
24900,-59.67,-464.56,12.84,-7.67,-5.24,2.43
